Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,16,D,
"ENC1, ENC2, ENC3, ENC4",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,4,RotaryEncoder_Switch,
"FAD1, FAD2, FAD3, FAD4",Potentiometer_Bourns_PTA4543_Single_Slide,4,R_Potentiometer,
J1,PinHeader_1x08_P2.54mm_Horizontal,1,ROTARY_ENCODERS,
J2,PinSocket_1x02_P2.54mm_Horizontal,1,VCC_out,
J3,PinHeader_1x04_P2.54mm_Vertical,1,FADERS,
J4,PinSocket_1x04_P2.54mm_Horizontal,1,SW_ROWS_out,
J5,PinHeader_1x04_P2.54mm_Vertical,1,SW_COLS_out,
J6,PinHeader_1x04_P2.54mm_Horizontal,1,SW_ROWS_in,
J7,PinSocket_1x02_P2.54mm_Horizontal,1,GND_out,
J8,PinHeader_1x02_P2.54mm_Horizontal,1,GND_in,
J9,PinHeader_1x02_P2.54mm_Horizontal,1,VCC_in,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_PCB_1.00u,12,SW_Push,
