Designator,Mid X,Mid Y,Rotation,Layer
D1,35.061107,-78.69,90.0,bottom
D10,93.121905,-119.55,90.0,bottom
D11,151.116702,-119.55,90.0,bottom
D12,209.118,-119.55,90.0,bottom
D13,43.5,-63.5,0.0,bottom
D14,101.5,-63.5,0.0,bottom
D15,159.5,-63.5,0.0,bottom
D16,216.612375,-63.554,0.0,bottom
D2,93.121905,-81.45,90.0,bottom
D3,151.116702,-81.45,90.0,bottom
D4,209.118,-81.45,90.0,bottom
D5,52.0,-100.19,90.0,bottom
D6,93.121905,-100.5,90.0,bottom
D7,151.116702,-100.5,90.0,bottom
D8,209.118,-100.5,90.0,bottom
D9,35.0,-117.5,90.0,bottom
ENC1,43.5,-53.25,270.0,top
ENC2,101.5,-53.25,270.0,top
ENC3,159.5,-53.25,270.0,top
ENC4,216.612375,-53.25,270.0,top
FAD1,67.5,-100.27,90.0,top
FAD2,125.5,-100.27,90.0,top
FAD3,183.5,-100.27,90.0,top
FAD4,241.5,-100.27,90.0,top
J1,128.65,-55.0,90.0,top
J2,250.5,-128.23,180.0,top
J3,140.23,-126.5,270.0,top
J4,250.5,-100.54,180.0,top
J5,128.73,-61.0,90.0,top
J6,33.5,-100.5,180.0,top
J7,250.5,-65.23,180.0,top
J8,33.5,-65.205,180.0,top
J9,33.5,-128.205,180.0,top
SW1,43.5,-79.285,0.0,top
SW10,217.5,-79.285,0.0,top
SW11,217.5,-98.335,0.0,top
SW12,217.5,-117.385,0.0,top
SW2,43.5,-98.335,0.0,top
SW3,43.5,-117.385,0.0,top
SW4,101.5,-79.285,0.0,top
SW5,101.5,-98.335,0.0,top
SW6,101.5,-117.385,0.0,top
SW7,159.5,-79.285,0.0,top
SW8,159.5,-98.335,0.0,top
SW9,159.5,-117.385,0.0,top
